Date,Open,High,Low,Close,Volume,Mean,Median,Up/Down,Gain/Loss,Change%
2014-08-19,585.002622,587.342658,584.002627,586.8626429999998,978600,0.0,0.0,,,
2014-08-18,576.11258,584.5126309999998,576.002598,582.1626190000002,1284100,584.512631,584.512631,-4.700023999999644,-0.8008729224905947,-0.8008729224905947
2014-08-15,577.862619,579.382595,570.522603,573.482626,1519100,580.8359626666667,582.1626190000002,-8.679993000000195,-1.4909911280305328,-1.4909911280305328
2014-08-14,576.182596,577.902645,570.882599,574.652582,985400,579.2901175000001,577.8226225000001,1.1699560000000702,0.2040089702735075,0.2040089702735075
2014-08-13,567.312567,575.0026019999998,565.752564,574.782577,1439200,578.3886094000001,573.482626,0.1299949999998944,0.022621494111705633,0.022621494111705633
2014-08-12,564.522567,565.902572,560.882518,562.732562,1542000,575.7792681666667,574.0676040000001,-12.050014999999917,-2.096447505923604,-2.096447505923604
2014-08-11,569.992585,570.492553,566.002578,567.8825509999998,1214700,574.6511657142858,574.652582,5.149988999999778,0.9151752267002772,0.9151752267002772
2014-08-08,563.562536,570.252576,560.352561,568.772565,1494700,573.916340625,574.7175795,0.8900140000001784,0.15672501266906838,0.15672501266906838
2014-08-07,568.00257,569.89258,561.102543,563.362525,1110900,572.7436944444445,574.782577,-5.410039999999981,-0.9511780864465537,-0.9511780864465537
2014-08-06,561.7825690000002,570.702601,560.0025410000002,566.376589,1334300,572.1069838999999,568.7575695,3.014063999999962,0.5350132226136203,0.5350132226136203
2014-08-05,570.052564,571.9826009999998,562.612543,565.072537,1551200,571.4674887272727,562.732562,-1.304051999999956,-0.2302446861905791,-0.2302446861905791
2014-08-04,569.042592,575.352622,564.102531,573.1526190000002,1427300,571.60791625,565.3075564999999,8.080082000000175,1.4299194299722575,1.4299194299722575
2014-08-01,570.4025839999998,575.962633,562.85252,566.072533,1955200,571.1821175384616,567.8825509999998,-7.080086000000165,-1.2352880830158368,-1.2352880830158368
2014-07-31,580.602616,583.652668,570.002561,571.602592,2102700,571.2121514285715,568.327558,5.530058999999937,0.9769170340578842,0.9769170340578842
2014-07-30,586.55265,589.502696,584.002627,587.42265,1016400,572.2928513333334,568.772565,15.820058000000017,2.767667295672448,2.767667295672448
2014-07-29,588.752653,589.702646,583.517654,585.612633,1349800,573.1253376875001,566.067545,-1.8100170000000162,-0.3081285680761571,-0.3081285680761571
2014-07-28,588.072688,592.502683,584.755668,590.6026969999998,986800,574.1534176470589,563.362525,4.9900639999998475,0.8521100329472995,0.8521100329472995
2014-07-25,590.402686,591.862684,587.0326650000002,589.0226809999998,932400,574.9794878333335,564.869557,-1.5800160000000005,-0.2675260387441138,-0.2675260387441138
2014-07-24,596.452725,599.502716,591.772654,593.352671,1035100,575.9464974736843,566.376589,4.32999000000018,0.7351143070839036,0.7351143070839036
2014-07-23,593.232713,597.852683,592.502683,595.9826860000002,1233100,576.9483069,565.724563,2.630015000000185,0.44324650895524237,0.44324650895524237
2014-07-22,590.722655,599.652725,590.6026969999998,594.742713,1699100,577.7956595714286,565.072537,-1.239973000000191,-0.20805520514738418,-0.20805520514738418
2014-07-21,591.752702,594.4026700000002,585.2356219999998,589.472645,2062100,578.3264316363637,569.1125780000001,-5.270067999999924,-0.8861088811692466,-0.8861088811692466
2014-07-18,593.002712,596.802684,582.0026349999998,595.0826959999998,4014100,579.0549648695652,573.1526190000002,5.610050999999771,0.9517067581651342,0.9517067581651342
2014-07-17,579.532604,580.9926009999998,568.61258,573.732579,3016500,578.8331987916666,569.6125760000001,-21.35011699999984,-3.5877563141240874,-3.5877563141240874
2014-07-16,588.002671,588.402633,582.202646,582.662648,1397100,578.98637676,566.072533,8.930069000000003,1.5564863016084718,1.5564863016084718
2014-07-15,585.7426280000002,585.807626,576.562606,584.782659,1623000,579.2093106923077,568.8375625,2.1200109999999768,0.3638487909387967,0.3638487909387967
2014-07-14,582.602608,585.212671,578.032641,584.872627,1854000,579.4190631481482,571.602592,0.08996799999999894,0.015384861130090204,0.015384861130090204
2014-07-11,571.9125849999998,580.85263,571.422594,579.182645,1621700,579.4106196428572,579.512621,-5.689981999999986,-0.972858317747872,-0.972858317747872
2014-07-10,565.912548,576.5925950000002,565.012558,571.102563,1356700,579.1241349310345,587.42265,-8.080081999999948,-1.3950835836940432,-1.3950835836940432
2014-07-09,571.582578,576.7225900000002,569.378597,576.08259,1116700,579.0227501000002,586.5176415,4.98002699999995,0.8720022151257532,0.8720022151257532
2014-07-08,577.662607,579.530645,566.137592,571.092587,1909500,578.7669383870968,585.612633,-4.9900030000000015,-0.8661957654370359,-0.8661957654370359
2014-07-07,583.76265,586.432631,579.5926440000002,582.252649,1064600,578.8758668437501,588.1076649999999,11.160062000000039,1.9541598427366802,1.9541598427366802
2014-07-03,583.3526509999998,585.01266,580.922646,584.7326559999998,714100,579.0533453030305,590.6026969999998,2.480006999999773,0.42593314161113816,0.42593314161113816
2014-07-02,583.3526509999998,585.442672,580.3926280000002,582.3376599999998,1056300,579.1499427941178,589.8126889999999,-2.394995999999992,-0.409588206751359,-0.409588206751359
2014-07-01,578.32262,584.402649,576.6526349999998,582.672624,1447900,579.2505908285716,589.0226809999998,0.33496400000024096,0.057520580070373785,0.057520580070373785
2014-06-30,578.662603,579.572631,574.752588,575.282606,1313700,579.140369027778,591.1876759999999,-7.390018000000055,-1.2682967580093576,-1.2682967580093576
2014-06-27,577.182592,579.872648,573.802595,577.2426320000002,2236900,579.089078837838,593.352671,1.960026000000198,0.3407066334976584,0.3407066334976584
2014-06-26,581.0026389999998,582.4526599999998,571.8526059999998,576.002598,1741900,579.0078556578949,594.6676785000001,-1.2400340000001506,-0.2148202387103228,-0.2148202387103228
2014-06-25,565.262572,579.962616,565.222546,578.6526269999998,1969300,578.9987472307694,595.9826860000002,2.6500289999997904,0.46007240404839117,0.46007240404839117
2014-06-24,565.192556,572.648612,561.012513,564.622572,2207100,578.6393428500002,595.3626995000001,-14.030054999999834,-2.4246075011770127,-2.4246075011770127
2014-06-23,555.152509,565.0025820000002,554.252519,564.952579,1536800,578.3055193414635,594.742713,0.33000700000002325,0.05844736224963094,0.05844736224963094
2014-06-20,556.852545,557.582513,550.3944650000002,556.362492,4508300,577.783066309524,592.107679,-8.59008700000004,-1.5204969973240956,-1.5204969973240956
2014-06-19,554.242482,555.0025,548.512473,554.902495,2456800,577.2509600000001,589.472645,-1.4599969999999303,-0.2624183011963233,-0.2624183011963233
2014-06-18,544.8624480000002,553.562516,544.002484,553.372481,1741700,576.7082672954547,592.2776704999999,-1.530014000000051,-0.27572663914586487,-0.27572663914586487
2014-06-17,544.2024349999998,545.32245,539.33245,543.012465,1444500,575.9594716888889,595.0826959999998,-10.360015999999973,-1.872159595157023,-1.872159595157023
2014-06-16,549.262515,549.622511,541.522477,544.282488,1702500,575.2708416086957,584.4076375,1.2700229999999237,0.23388468623826594,0.23388468623826594
2014-06-13,552.262503,552.3025299999998,545.562488,551.762475,1220500,574.7706635957447,573.732579,7.479987000000051,1.374283972921071,1.374283972921071
2014-06-12,557.302509,557.992512,548.46247,551.352476,1458400,574.2827846875001,578.1976135,-0.4099989999999707,-0.07430715544763544,-0.07430715544763544
